timestamp,channel_type,channel_name,channel_id,ad_cost,sales,homepage_visits,branded_searches,conversion_rate,bounce_rate,top_searched_words,search_volume,share_of_voice,region,user_id,age,gender,income_level,brand_awareness,recall_score,social_sentiment,engagement
2024-04-07 00:00:00,online,google_ads,google_ads_001,55.46209856754149,9097.233582498457,539,142,0.08190323672920542,0.43464132749085194,JYSK,8682,0.3042698106989305,South,20301,51,Female,High,0.5465497646947608,0.6019789603103135,0.7940472940655807,112
2024-04-07 01:00:00,online,google_ads,google_ads_001,453.4657792814647,8033.04000747113,495,265,0.05242303411715637,0.36715110370823945,dining table,7788,0.024956129860908848,West,81043,30,Other,Low,0.830001819608916,0.8278758728596295,0.9485094891525272,378
2024-04-07 02:00:00,online,google_ads,google_ads_001,460.5118115028983,1394.0552860288742,860,296,0.1403763850920744,0.5468240669772801,sofa,6600,0.020562625383001017,East,65001,27,Other,High,0.7001375214662636,0.21539483939114945,-0.5166116046991394,163
2024-04-07 03:00:00,online,google_ads,google_ads_001,77.63784873971906,7237.267020085324,755,258,0.14646598499170288,0.5136835698033881,sofa,6816,0.04250623749913231,East,58359,25,Female,High,0.5316645134956802,0.18957016735666898,0.028077698425085895,278
2024-04-07 04:00:00,online,google_ads,google_ads_001,284.8168953731123,5536.5533441559355,894,212,0.062228167405405904,0.48867441402182904,JYSK,3846,0.18065047680738563,South,65119,24,Male,Low,0.5267350652197025,0.8352477988030188,0.06871230580051679,127
2024-04-07 05:00:00,online,google_ads,google_ads_001,118.65850640312443,5279.9755780214255,455,144,0.1599120601804178,0.3887074222235679,sofa,8390,0.1018255567945078,East,79191,30,Male,Medium,0.4077011053558339,0.8170624350021004,0.7323362235841278,351
2024-04-07 06:00:00,online,google_ads,google_ads_001,391.40939959172334,7224.025301429889,500,283,0.1723616880573191,0.2826798632263945,dining table,2295,0.393861904822156,West,26347,43,Male,Medium,0.1962836268688505,0.5038238232671212,-0.39218372723635686,288
2024-04-07 07:00:00,online,google_ads,google_ads_001,349.4261622947661,2766.088415971397,340,209,0.18492826828552977,0.6454258297235829,KIKA,4765,0.2214931542144331,South,32053,49,Male,Medium,0.7853223960435851,0.19874005197405836,0.5960848867068296,372
2024-04-07 08:00:00,online,google_ads,google_ads_001,183.70886582981495,9833.397972955478,440,196,0.040630358644490286,0.7279140613055928,KIKA,9293,0.2683421409716518,East,69056,36,Female,Medium,0.9262853138804851,0.5645108415852566,0.9420147825560234,234
2024-04-07 09:00:00,online,google_ads,google_ads_001,102.63212646816442,6807.758772452041,986,144,0.06774549988652061,0.7664905455396904,dining table,7449,0.1187398531362117,West,78028,32,Male,Medium,0.2961593691941059,0.4553228800041996,0.6806733054885985,484
2024-04-07 10:00:00,online,google_ads,google_ads_001,424.0492982633249,4290.905571506706,328,216,0.17346713602570218,0.23517138236814827,JYSK,9862,0.13550079434916745,East,68688,19,Other,Medium,0.9331061445362776,0.5666926879396115,0.818280566913435,428
2024-04-07 11:00:00,online,google_ads,google_ads_001,353.41361567818296,6401.819872631451,642,197,0.047722638537299855,0.6439452269533299,wardrobe,4498,0.14083014651505082,North,68450,54,Male,Medium,0.30907379625245035,0.4959056818230244,0.41670887828593917,277
2024-04-07 12:00:00,online,google_ads,google_ads_001,53.06897525114876,2948.2377696065823,720,77,0.010659007256264121,0.6359020756441776,dining table,3729,0.28250692500861724,East,22304,36,Female,Low,0.5770711917853977,0.6116629720518002,0.8079115205543472,146
2024-04-07 13:00:00,online,google_ads,google_ads_001,332.5423014212474,6704.576783694606,638,52,0.17545718894781057,0.7682657684873537,KIKA,7866,0.19474542099883033,South,41403,50,Male,Low,0.4092597965144241,0.7544167466619645,-0.6702987292953453,235
2024-04-07 14:00:00,online,google_ads,google_ads_001,414.6332124633557,1253.9542666401762,954,209,0.07202539393276018,0.3517487566986593,dining table,6247,0.21189662448672905,West,86418,56,Male,Medium,0.2030579073210324,0.7973739132857727,0.42472283008325196,343
2024-04-07 15:00:00,online,google_ads,google_ads_001,315.84562680941724,4070.6372026752956,771,135,0.0887545297764005,0.6453074229770939,sofa,1163,0.24088116304214469,West,47424,67,Female,Low,0.1475545374599926,0.6840839784140597,0.4637547099429522,238
2024-04-07 16:00:00,online,google_ads,google_ads_001,241.12115450452384,7727.652070727558,628,157,0.09480346488692121,0.23277577325989074,sofa,8930,0.30983654593290466,South,69924,50,Male,High,0.42881187892980466,0.27904655354175345,-0.12163810700115874,332
2024-04-07 17:00:00,online,google_ads,google_ads_001,312.76327034404176,8271.80064202726,366,235,0.17117217412677344,0.5787474324569715,dining table,9434,0.04524420191986648,North,84047,18,Female,Medium,0.14260947809449598,0.4574107230446073,-0.8405230652841758,117
2024-04-07 18:00:00,online,google_ads,google_ads_001,328.8704255363063,3276.2747198257125,228,231,0.07419950747275747,0.4105086944313079,JYSK,8843,0.3129808257653405,West,96235,56,Male,High,0.19378579378406618,0.1641016258621495,0.24488749252165443,309
2024-04-07 19:00:00,online,google_ads,google_ads_001,338.0155807739589,5854.685151519878,319,219,0.17953317831273155,0.6613456637284851,wardrobe,3375,0.22966167686132014,South,31178,45,Female,Low,0.2280678209181858,0.5065063552676543,-0.8962383868590387,454
2024-04-07 20:00:00,online,google_ads,google_ads_001,485.1702742569636,5756.436007202062,181,166,0.12721843622912912,0.7179825718612363,sofa,1076,0.2709472234935503,East,27821,34,Male,Medium,0.10172413556109916,0.973305471452366,-0.23519500768690094,414
2024-04-07 21:00:00,online,google_ads,google_ads_001,130.39150440126124,4793.104417391024,660,157,0.1101844775664,0.41889262533050975,KIKA,4169,0.1377451882878972,North,91951,23,Other,High,0.23792699425928812,0.6775576368319096,-0.21265954204849669,16
2024-04-07 22:00:00,online,google_ads,google_ads_001,330.3919072912576,3055.8968447768066,652,64,0.07186675635421787,0.5153516556195804,sofa,6502,0.16966086635841518,South,10714,69,Other,Low,0.6195508123405371,0.23915126319714722,0.9978450169266657,137
2024-04-07 23:00:00,online,google_ads,google_ads_001,134.596993833358,7329.054099058955,119,279,0.05630522229342531,0.27044243741816,KIKA,445,0.1001546696650289,East,84767,61,Female,Medium,0.8375708098863428,0.34171989379788936,-0.40039593254177896,362
2024-04-08 00:00:00,online,google_ads,google_ads_001,144.48052411205532,3271.255135709677,426,260,0.12857110412769626,0.450144179134086,wardrobe,5042,0.39192699899278804,West,92328,37,Female,Medium,0.27408696346726286,0.15811628167229214,0.6409078758473772,492
2024-04-08 01:00:00,online,google_ads,google_ads_001,351.16604766831506,9199.231634409542,136,111,0.09490989041074946,0.4164802359555016,sofa,3042,0.2038311592790235,West,82882,64,Female,High,0.17278534346275026,0.2641725011367694,-0.8936566295632924,276
2024-04-08 02:00:00,online,google_ads,google_ads_001,462.1793382373923,5756.511620066523,481,80,0.18299804188708121,0.30987407587071064,JYSK,7504,0.39846999716067316,North,34124,30,Other,High,0.7565627785922849,0.53905747913,0.05953197077168082,182
2024-04-08 03:00:00,online,google_ads,google_ads_001,121.56991119465872,8834.305035795596,138,238,0.10341135606166944,0.7366871748600656,KIKA,1176,0.2010165314438939,East,99584,29,Female,High,0.10734644031149443,0.4103707432857695,0.07338335711202415,425
2024-04-08 04:00:00,online,google_ads,google_ads_001,483.10949019039174,3616.684487237476,208,75,0.10724103417322632,0.28885270282409614,sofa,9463,0.09570299310978626,South,96951,47,Male,Low,0.7607458918327431,0.28356608557789004,0.2574997063889246,223
2024-04-08 05:00:00,online,google_ads,google_ads_001,193.71754670730306,8263.712406328588,528,246,0.08917742341584015,0.5814436145181123,sofa,3870,0.20790643472737413,West,27511,38,Female,High,0.21800551228019316,0.2319385722065705,0.6200104067798766,256
2024-04-08 06:00:00,online,google_ads,google_ads_001,226.09131955556003,2022.9722640999325,163,234,0.15995996942834417,0.7340855860879327,dining table,5752,0.025442273001640342,South,64588,19,Female,High,0.3054565559074631,0.6904640052794854,0.523846763446296,115
2024-04-08 07:00:00,online,google_ads,google_ads_001,119.15637077247689,7901.47307806654,274,197,0.09071944764076137,0.7471811479179356,JYSK,8524,0.362860222554561,South,87567,35,Male,High,0.2080629197992266,0.602292139185566,0.522016256664749,92
2024-04-08 08:00:00,online,google_ads,google_ads_001,327.12624763324266,4482.51264932772,890,115,0.06117497995245344,0.675943819904341,JYSK,8148,0.32923459796583204,South,21215,45,Male,Medium,0.32260434134625504,0.8583762809933811,-0.13541213135142627,301
2024-04-08 09:00:00,online,google_ads,google_ads_001,318.38922258078526,5229.9107993672815,131,198,0.17378586611576688,0.305684680324506,dining table,550,0.2930700030707711,North,21851,21,Other,High,0.8183583446156154,0.2649275971549781,0.45494296493305275,383
2024-04-08 10:00:00,online,google_ads,google_ads_001,249.02138439619216,2501.2658823361553,820,164,0.12339736205939565,0.6904588455283219,KIKA,9654,0.24783241902255942,South,43550,59,Male,High,0.2192896946125682,0.8631869139354216,-0.017368564501756945,430
2024-04-08 11:00:00,online,google_ads,google_ads_001,264.24112544795116,1167.6491967195311,990,109,0.12238694175611033,0.36593888744937475,IKEA,450,0.23613535113144163,North,65958,60,Male,Low,0.9947490690641806,0.6201200553038705,-0.8660976433099956,212
2024-04-08 12:00:00,online,google_ads,google_ads_001,330.33914410410085,6995.777438154534,630,112,0.12605621936114605,0.7534388164595054,wardrobe,9600,0.3987240034909905,North,11178,23,Female,Low,0.39438799848801276,0.33960087458174404,0.780363565223454,50
